 -5.0000000e+00 -7.0000000e+00
 -4.9899900e+00 -6.9027028e+00
 -4.9799800e+00 -6.8060052e+00
 -4.9699700e+00 -6.7099058e+00
 -4.9599600e+00 -6.6144032e+00
 -4.9499499e+00 -6.5194957e+00
 -4.9399399e+00 -6.4251819e+00
 -4.9299299e+00 -6.3314603e+00
 -4.9199199e+00 -6.2383293e+00
 -4.9099099e+00 -6.1457875e+00
 -4.8998999e+00 -6.0538334e+00
 -4.8898899e+00 -5.9624654e+00
 -4.8798799e+00 -5.8716821e+00
 -4.8698699e+00 -5.7814819e+00
 -4.8598599e+00 -5.6918633e+00
 -4.8498498e+00 -5.6028250e+00
 -4.8398398e+00 -5.5143652e+00
 -4.8298298e+00 -5.4264826e+00
 -4.8198198e+00 -5.3391756e+00
 -4.8098098e+00 -5.2524427e+00
 -4.7997998e+00 -5.1662824e+00
 -4.7897898e+00 -5.0806932e+00
 -4.7797798e+00 -4.9956737e+00
 -4.7697698e+00 -4.9112222e+00
 -4.7597598e+00 -4.8273374e+00
 -4.7497497e+00 -4.7440176e+00
 -4.7397397e+00 -4.6612615e+00
 -4.7297297e+00 -4.5790674e+00
 -4.7197197e+00 -4.4974339e+00
 -4.7097097e+00 -4.4163594e+00
 -4.6996997e+00 -4.3358426e+00
 -4.6896897e+00 -4.2558818e+00
 -4.6796797e+00 -4.1764756e+00
 -4.6696697e+00 -4.0976224e+00
 -4.6596597e+00 -4.0193208e+00
 -4.6496496e+00 -3.9415692e+00
 -4.6396396e+00 -3.8643662e+00
 -4.6296296e+00 -3.7877102e+00
 -4.6196196e+00 -3.7115998e+00
 -4.6096096e+00 -3.6360333e+00
 -4.5995996e+00 -3.5610094e+00
 -4.5895896e+00 -3.4865266e+00
 -4.5795796e+00 -3.4125832e+00
 -4.5695696e+00 -3.3391779e+00
 -4.5595596e+00 -3.2663090e+00
 -4.5495495e+00 -3.1939752e+00
 -4.5395395e+00 -3.1221749e+00
 -4.5295295e+00 -3.0509065e+00
 -4.5195195e+00 -2.9801687e+00
 -4.5095095e+00 -2.9099598e+00
 -4.4994995e+00 -2.8402784e+00
 -4.4894895e+00 -2.7711230e+00
 -4.4794795e+00 -2.7024921e+00
 -4.4694695e+00 -2.6343841e+00
 -4.4594595e+00 -2.5667976e+00
 -4.4494494e+00 -2.4997311e+00
 -4.4394394e+00 -2.4331830e+00
 -4.4294294e+00 -2.3671518e+00
